SRforSCF_03.csv, ñ@ê¸ñ íºíBì˙éÀó , êÖïΩñ ìVãÛì˙éÀó , ígñ[1_ó‚ñ[2
11916, 45, 22, 1
11917, 0, 0, 1
11918, 0, 0, 1
11919, 0, 0, 1
11920, 0, 0, 1
11921, 0, 0, 1
11922, 0, 0, 1
11923, 0, 0, 1
11924, 0, 0, 1
12001, 0, 0, 1
12002, 0, 0, 1
12003, 0, 0, 1
12004, 0, 0, 1
12005, 0, 0, 1
12006, 0, 0, 1
12007, 10, 7, 1
12008, 50, 41, 1
12009, 409, 84, 1
12010, 483, 105, 1
12011, 432, 134, 1
12012, 237, 167, 1
12013, 299, 148, 1
12014, 239, 122, 1
12015, 318, 74, 1
12016, 110, 26, 1
12017, 0, 0, 1
12018, 0, 0, 1
12019, 0, 0, 1
12020, 0, 0, 1
12021, 0, 0, 1
12022, 0, 0, 1
12023, 0, 0, 1
12024, 0, 0, 1
12101, 0, 0, 1
12102, 0, 0, 1
12103, 0, 0, 1
12104, 0, 0, 1
12105, 0, 0, 1
12106, 0, 0, 1
12107, 2, 5, 1
12108, 48, 41, 1
12109, 55, 84, 1
12110, 287, 134, 1
12111, 406, 141, 1
12112, 588, 103, 1
12113, 612, 88, 1
12114, 497, 91, 1
12115, 330, 74, 1
12116, 246, 29, 1
12117, 0, 0, 1
12118, 0, 0, 1
12119, 0, 0, 1
12120, 0, 0, 1
12121, 0, 0, 1
12122, 0, 0, 1
12123, 0, 0, 1
12124, 0, 0, 1
12201, 0, 0, 1
12202, 0, 0, 1
12203, 0, 0, 1
12204, 0, 0, 1
12205, 0, 0, 1
12206, 0, 0, 1
12207, 36, 10, 1
12208, 306, 50, 1
12209, 394, 86, 1
12210, 172, 141, 1
12211, 423, 139, 1
12212, 602, 100, 1
12213, 631, 84, 1
12214, 504, 91, 1
12215, 294, 76, 1
12216, 67, 26, 1
12217, 0, 0, 1
12218, 0, 0, 1
12219, 0, 0, 1
12220, 0, 0, 1
12221, 0, 0, 1
12222, 0, 0, 1
12223, 0, 0, 1
12224, 0, 0, 1
12301, 0, 0, 1
12302, 0, 0, 1
12303, 0, 0, 1
12304, 0, 0, 1
12305, 0, 0, 1
12306, 0, 0, 1
12307, 36, 10, 1
12308, 349, 48, 1
12309, 571, 65, 1
12310, 707, 62, 1
12311, 318, 158, 1
12312, 103, 165, 1
12313, 19, 98, 1
12314, 7, 57, 1
12315, 12, 43, 1
12316, 22, 19, 1
12317, 0, 0, 1
12318, 0, 0, 1
12319, 0, 0, 1
12320, 0, 0, 1
12321, 0, 0, 1
12322, 0, 0, 1
12323, 0, 0, 1
12324, 0, 0, 1
12401, 0, 0, 1
12402, 0, 0, 1
12403, 0, 0, 1
12404, 0, 0, 1
12405, 0, 0, 1
12406, 0, 0, 1
12407, 2, 5, 1
12408, 24, 33, 1
12409, 277, 100, 1
12410, 561, 91, 1
12411, 490, 127, 1
12412, 234, 174, 1
12413, 645, 84, 1
12414, 459, 100, 1
