etajdt_case, Azwjdt, cosh, 1, cosÉ∆, cos2É∆, cos3É∆, cos4É∆, cos5É∆, cos6É∆, cos7É∆, etajdtA
134, 144.514924356467, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
135, 160.221495306748, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
136, -173.46810747689, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
137, -149.897504004139, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
138, -119.576631271908, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
139, -85.9072827030076, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
140, -57.0487204530375, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
141, -27.1186653657445, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
142, -10.982439747779, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
143, 4.2274438520394, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
144, 106.596393890091, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
145, 122.014924356467, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
146, 137.721495306748, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
147, 164.03189252311, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
148, -172.397504004139, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
149, -142.076631271908, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
150, -108.407282703008, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
151, -79.5487204530375, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
152, -49.6186653657445, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
153, -33.482439747779, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
154, -18.2725561479606, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
155, 84.0963938900912, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
156, 99.5149243564668, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
157, 115.221495306748, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
158, 141.53189252311, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
159, 165.102495995861, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
160, -164.576631271908, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
161, -130.907282703008, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
162, -102.048720453037, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
163, -72.1186653657445, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
164, -55.982439747779, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
165, -40.7725561479606, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
166, 61.5963938900912, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
167, 77.0149243564668, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
168, 92.7214953067478, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
169, 119.03189252311, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
170, 142.602495995861, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
171, 172.923368728092, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
172, -153.407282703008, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
173, -124.548720453037, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
174, -94.6186653657445, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
